City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
305,arraial do cabo,-22.9661,-42.0278,24.92,88,75,3.09,BR,1705923891
306,santa ana,33.7456,-117.8678,15.16,92,100,4.12,US,1705923891
307,mar del plata,-38.0023,-57.5575,23.07,74,0,6.26,AR,1705923891
308,beau vallon,-20.4189,57.6953,31.23,74,75,5.66,MU,1705923891
309,sorong,-0.8833,131.25,26.15,81,100,7.83,ID,1705923892
310,kununurra,-15.7667,128.7333,26.99,94,75,2.57,AU,1705923892
311,necochea,-38.5473,-58.7368,24.7,36,39,5.33,AR,1705923892
312,khandyga,62.6667,135.6,-28.02,99,100,1.59,RU,1705923892
313,norilsk,69.3535,88.2027,-10.32,92,100,7.37,RU,1705923892
314,anadyr,64.75,177.4833,-18.72,84,0,3.0,RU,1705923893
315,mindelheim,48.05,10.4833,10.34,55,0,10.8,DE,1705923893
316,araguaina,-7.1911,-48.2072,30.3,59,100,3.0,BR,1705923893
317,bamboo flat,11.7,92.7167,27.05,61,20,3.6,IN,1705923893
318,tual,-5.6667,132.75,27.93,78,100,7.04,ID,1705923717
319,gorom-gorom,14.4439,-0.2361,33.0,6,26,6.49,BF,1705923894
320,laguna,38.421,-121.4238,13.32,91,100,8.75,US,1705923894
321,uturoa,-16.7333,-151.4333,27.28,79,72,5.44,PF,1705923894
322,ketchikan,55.3422,-131.6461,5.99,93,100,2.06,US,1705923894
323,laojunmiao,39.8333,97.7333,-14.14,42,0,7.2,CN,1705923894
324,ksar el boukhari,35.8889,2.7491,9.84,57,0,2.15,DZ,1705923895
325,tynda,55.1667,124.7167,-19.55,88,100,1.45,RU,1705923895
326,ponta delgada,37.7333,-25.6667,18.44,88,75,5.66,PT,1705923762
327,radomir,42.5444,22.9578,-7.85,72,1,1.07,BG,1705923895
328,hammerfest,70.6634,23.6821,-3.75,74,20,3.6,NO,1705923895
329,nova sintra,14.8667,-24.7167,20.44,78,60,7.92,CV,1705923896
330,severnoye,56.3491,78.3619,-15.01,84,97,4.02,RU,1705923896
331,altai,46.3722,96.2583,-22.75,68,0,0.98,MN,1705923896
332,planaltina,-15.4528,-47.6142,22.78,74,95,0.28,BR,1705923896
333,san antonio de pale,-1.4014,5.6325,27.56,80,14,3.01,GQ,1705923641
334,marica,-22.9194,-42.8186,26.95,81,61,3.92,BR,1705923896
335,riberalta,-10.9833,-66.1,25.11,94,75,2.06,BO,1705923897
336,mount isa,-20.7333,139.5,28.87,70,79,2.57,AU,1705923897
337,zaozersk,69.4005,32.4476,-9.99,95,100,2.75,RU,1705923897
338,guantanamo,20.1444,-75.2092,23.76,79,84,3.76,CU,1705923897
339,kruisfontein,-34.0033,24.7314,19.94,78,99,6.96,ZA,1705923898
340,peace river,56.2501,-117.286,-15.19,89,100,3.09,CA,1705923898
341,maslyanino,54.3436,84.2111,-18.49,97,3,0.64,RU,1705923898
342,bridgewater,44.3835,-64.5155,-8.18,86,6,3.6,CA,1705923808
343,barra,-11.0894,-43.1417,28.61,62,83,1.61,BR,1705923898
